id,name,host_name,host_location,host_response_time,host_is_superhost,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,number_of_reviews,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_cleaned
1162293949697234299,Modern stand-alone COACH HOUSE,Elieke,"Chicago, IL",within an hour,True,Neighborhood highlights,Logan Square,41.92424184233522,-87.68640730530024,Tiny home,Todo o espaço,5,1.5,2.0,4.0,$202.00,2,18,3,4.83,True,202.0
1162395689764309956,Chicago 2 Bedroom Condo,Sean,"Chicago, IL",within a few hours,True,,Avondale,41.9453715,-87.70506309999999,Entire condo,Todo o espaço,6,1.0,2.0,5.0,$96.00,2,43,3,4.88,False,96.0
1162441543769604714,Grand 8br Home w/Garage Just 15 Min To Downtown!,Rafael,"Chicago, IL",within an hour,True,,Humboldt Park,41.89517583822173,-87.71082140047687,Entire home,Todo o espaço,16,3.0,8.0,10.0,$392.00,2,14,0,4.86,False,392.0
1162467132557250937,WrigleyGarden Apt Close2 Beaches,Jessica,"Niles, MI",within an hour,True,,Lake View,41.9514972,-87.6553799,Entire rental unit,Todo o espaço,2,1.0,1.0,1.0,$91.00,32,0,0,,True,91.0
1162534320150189484,Room in Townhouse RogersPark,Ilyas,"Chicago, IL",within an hour,False,,West Ridge,42.01475,-87.68973,Private room in townhouse,Quarto privativo,2,1.0,1.0,2.0,$95.00,1,2,0,3.0,False,95.0
1163024216163365805,Queen Room with City View Near Pizzeria Uno CHI,LuxurybookingsFZE,"Dubai, United Arab Emirates",within an hour,False,Neighborhood highlights,Near North Side,41.89191963482735,-87.626536275155,Entire rental unit,Todo o espaço,2,1.0,1.0,1.0,$256.00,32,0,0,,False,256.0
1163055179738567599,Tranquil Gold Coast Apt,Cameel,,within a few hours,False,,Near North Side,41.90284,-87.63269,Entire rental unit,Todo o espaço,4,1.0,0.0,1.0,$111.00,32,2,0,5.0,False,111.0
1163084375913400046,"Wicker Park Entire House, Private Yard and Parking",Michael,,,False,,West Town,41.90417423893536,-87.67712001534423,Entire home,Todo o espaço,12,3.0,4.0,7.0,$296.00,1,43,3,4.84,True,296.0
1163266208548806068,*Brand New* Lincoln Park Remarkable,Khaled,,within an hour,True,,Lincoln Park,41.92779,-87.6522,Entire rental unit,Todo o espaço,2,1.0,1.0,1.0,$136.00,1,99,6,4.77,False,136.0
1163274390408352184,Logan Square Hotel Room 308,Flora,"Chicago, IL",within an hour,True,,Logan Square,41.91653897256384,-87.6966279469731,Room in hotel,Quarto privativo,1,1.0,1.0,0.0,$75.00,32,1,0,5.0,False,75.0
1163286155901190768,Logan Square Hotel Room 203,Flora,"Chicago, IL",within an hour,True,,Logan Square,41.9166086130264,-87.69806292589564,Room in hotel,Quarto privativo,2,,1.0,,,32,0,0,,False,
